epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
14,263.879,0.91057,0.49963,1.08047,0.98655,0.98113,0.99456,0.82859,0.69662,0.38925,0.98152,0.0014852,0.0014852,0.0014852
15,282.626,0.90678,0.48186,1.06589,0.9933,0.98113,0.99386,0.81674,0.80838,0.39837,1.03915,0.0014456,0.0014456,0.0014456
16,300.956,0.90271,0.48194,1.08499,0.9937,0.99179,0.99494,0.78614,0.90401,0.41048,1.06283,0.001406,0.001406,0.001406
17,318.7,0.90434,0.49128,1.06954,0.98692,0.99371,0.99469,0.78804,0.79857,0.42649,1.02831,0.0013664,0.0013664,0.0013664
18,337.577,0.86813,0.4659,1.04485,0.99253,0.98113,0.99324,0.80961,0.75642,0.37612,0.99484,0.0013268,0.0013268,0.0013268
19,355.688,0.84551,0.44331,1.0438,1,0.9806,0.99446,0.84048,0.70603,0.36279,0.99077,0.0012872,0.0012872,0.0012872
20,373.569,0.81815,0.43861,1.02959,0.99367,0.98731,0.99481,0.81822,0.75267,0.35729,0.99953,0.0012476,0.0012476,0.0012476
21,391.392,0.83529,0.44058,1.04461,0.99359,0.97419,0.98697,0.83684,0.666,0.35329,0.97576,0.001208,0.001208,0.001208
22,409.332,0.80917,0.43291,1.02783,0.99363,0.98105,0.99445,0.84007,0.68881,0.33292,0.97684,0.0011684,0.0011684,0.0011684
23,427.369,0.79304,0.41598,1.02066,0.99253,0.98742,0.99469,0.85477,0.64052,0.31287,0.96319,0.0011288,0.0011288,0.0011288
24,445.587,0.80927,0.41759,1.01952,1,0.98703,0.99475,0.86106,0.62942,0.31368,0.94706,0.0010892,0.0010892,0.0010892
25,463.75,0.78061,0.40687,1.02692,0.99363,0.98107,0.9936,0.85049,0.6319,0.32791,0.95763,0.0010496,0.0010496,0.0010496
26,482.029,0.76965,0.40887,1.01206,0.99983,0.98742,0.99481,0.85967,0.60664,0.31886,0.94404,0.00101,0.00101,0.00101
27,500.28,0.74963,0.39105,1.00151,0.98738,0.98448,0.99444,0.84138,0.67986,0.33468,0.97595,0.0009704,0.0009704,0.0009704
28,518.925,0.74565,0.39922,1.01293,0.98722,0.97203,0.99395,0.86874,0.58221,0.32983,0.93454,0.0009308,0.0009308,0.0009308
29,537.451,0.74695,0.38182,0.99974,0.9886,0.98113,0.9942,0.87606,0.58437,0.30876,0.92713,0.0008912,0.0008912,0.0008912
30,555.922,0.71654,0.37085,0.9789,0.98146,0.99864,0.99386,0.87292,0.58556,0.29295,0.92886,0.0008516,0.0008516,0.0008516
31,574.581,0.69609,0.36833,0.98552,0.99363,0.98052,0.99439,0.86868,0.62269,0.30334,0.94664,0.000812,0.000812,0.000812
32,593.815,0.72324,0.37244,0.99574,1,0.98087,0.99275,0.86528,0.59568,0.31026,0.93486,0.0007724,0.0007724,0.0007724
33,620.117,0.7171,0.37445,0.99526,0.98655,0.98113,0.99423,0.88026,0.57258,0.29285,0.93,0.0007328,0.0007328,0.0007328
34,639.628,0.6782,0.35211,0.97473,0.99319,0.98113,0.99438,0.86672,0.56586,0.29186,0.91828,0.0006932,0.0006932,0.0006932
35,657.636,0.6891,0.34489,0.97265,0.99997,0.98113,0.99429,0.88453,0.56046,0.28582,0.92252,0.0006536,0.0006536,0.0006536
36,675.58,0.67129,0.34386,0.9751,0.99949,0.98113,0.99475,0.87562,0.54604,0.28733,0.91893,0.000614,0.000614,0.000614
37,693.404,0.65602,0.34541,0.97003,0.99265,0.98742,0.99481,0.89215,0.54041,0.27152,0.91614,0.0005744,0.0005744,0.0005744
38,710.973,0.67814,0.35668,0.97003,0.99953,0.98742,0.99488,0.87501,0.56649,0.28307,0.91568,0.0005348,0.0005348,0.0005348
39,729.136,0.64187,0.32637,0.95156,0.99892,0.98113,0.99469,0.88267,0.53941,0.26336,0.9122,0.0004952,0.0004952,0.0004952
40,747.999,0.64236,0.33186,0.95849,0.98742,0.98713,0.99409,0.88376,0.5555,0.2728,0.9129,0.0004556,0.0004556,0.0004556
41,793.247,0.61567,0.30458,0.95642,0.99251,0.98742,0.99434,0.87522,0.56167,0.27142,0.92071,0.000416,0.000416,0.000416
42,811.185,0.60218,0.29684,0.94301,1,0.98085,0.9916,0.87809,0.538,0.26285,0.91125,0.0003764,0.0003764,0.0003764
43,829.162,0.58075,0.28164,0.9284,0.99985,0.98742,0.99481,0.89515,0.52958,0.25789,0.90723,0.0003368,0.0003368,0.0003368
44,848.186,0.5726,0.28326,0.92056,0.9997,0.98742,0.99494,0.88898,0.54149,0.25454,0.91008,0.0002972,0.0002972,0.0002972
45,868.043,0.56006,0.27569,0.9219,0.99955,0.98113,0.99488,0.8937,0.52949,0.25256,0.90531,0.0002576,0.0002576,0.0002576
46,887.714,0.55787,0.27399,0.93018,0.99953,0.98113,0.99481,0.88841,0.54179,0.26148,0.91146,0.000218,0.000218,0.000218
47,905.532,0.54475,0.26461,0.91936,0.99925,0.98113,0.99458,0.88882,0.53794,0.25797,0.90945,0.0001784,0.0001784,0.0001784
48,923.346,0.54319,0.2632,0.91391,0.99936,0.98113,0.99458,0.90149,0.51515,0.24486,0.90057,0.0001388,0.0001388,0.0001388
49,942.038,0.52417,0.25603,0.89866,1,0.98034,0.99463,0.90361,0.49727,0.24204,0.8963,9.92e-05,9.92e-05,9.92e-05
50,960.801,0.52601,0.25652,0.91184,0.99957,0.98113,0.99475,0.90157,0.50616,0.24244,0.89684,5.96e-05,5.96e-05,5.96e-05
