epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.9869,1.1433,1.32255,1.22367,0.56956,0.54093,0.5375,0.31786,1.60101,2.86955,1.73143,0.00065942,0.00065942,0.00065942
2,40.7549,1.08246,0.74955,1.19592,0.97496,0.95597,0.9924,0.73002,0.95317,0.89157,1.16082,0.00129983,0.00129983,0.00129983
3,59.0207,1.09255,0.78722,1.17933,1,0.94228,0.98365,0.76253,0.85788,0.73448,1.09738,0.00191384,0.00191384,0.00191384
4,77.0928,1.06778,0.65076,1.1488,0.95101,0.97681,0.99096,0.69098,1.01968,0.95323,1.19443,0.0018812,0.0018812,0.0018812
5,94.6983,1.08171,0.67036,1.17699,0.93551,0.91242,0.95959,0.67624,1.08706,0.82909,1.24976,0.0018416,0.0018416,0.0018416
6,112.033,1.07451,0.62656,1.17733,0.97519,0.96855,0.99013,0.76832,0.88835,0.5447,1.0732,0.001802,0.001802,0.001802
7,129.8,1.01104,0.59238,1.13907,0.99353,0.96608,0.9912,0.7242,0.97242,0.51731,1.11514,0.0017624,0.0017624,0.0017624
8,149.403,1.01121,0.58881,1.13461,0.96295,0.99371,0.98927,0.71151,0.97045,0.52155,1.14403,0.0017228,0.0017228,0.0017228
9,172.717,0.98142,0.54985,1.12472,0.98724,0.97287,0.98603,0.7371,1.01534,0.55175,1.13493,0.0016832,0.0016832,0.0016832
10,191.557,0.97057,0.53426,1.11798,0.97966,0.98113,0.99258,0.78109,0.83008,0.43902,1.0453,0.0016436,0.0016436,0.0016436
11,209.888,0.94178,0.52949,1.09079,0.97421,0.98742,0.99356,0.80979,0.77236,0.4154,1.01957,0.001604,0.001604,0.001604
12,227.958,0.95632,0.51698,1.09913,0.96892,0.98035,0.99234,0.81304,0.72609,0.43641,0.99894,0.0015644,0.0015644,0.0015644
13,246.234,0.9233,0.49825,1.09179,0.99999,0.98742,0.99494,0.7569,0.95958,0.43121,1.0918,0.0015248,0.0015248,0.0015248
