epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.51589,1.10405,2.56292,1.13431,0.93117,0.86816,0.9306,0.65621,1.11347,1.8577,1.09827,0.0004,0.0004,0.0004
2,11.3175,0.77936,0.93978,0.92006,0.4719,0.92513,0.51292,0.39478,0.86719,3.01089,0.92682,0.000803764,0.000803764,0.000803764
3,16.3906,0.78112,0.93018,0.94737,0.9665,0.92557,0.96822,0.74859,0.86363,1.2917,0.98178,0.0011909,0.0011909,0.0011909
4,21.3281,0.77187,0.76219,0.94283,0.99423,0.88235,0.95559,0.76417,0.8504,0.97142,0.93787,0.0015614,0.0015614,0.0015614
5,26.2237,0.8194,0.60575,0.94766,0.99109,0.87166,0.95352,0.7701,0.82212,1.04277,0.94204,0.0018416,0.0018416,0.0018416
6,31.0444,0.80331,0.60892,0.93217,0.9837,0.96834,0.98962,0.78172,0.74356,0.61682,0.89903,0.001802,0.001802,0.001802
7,35.7231,0.71828,0.52706,0.92068,0.81152,0.87496,0.9239,0.72176,0.81005,0.74711,0.93312,0.0017624,0.0017624,0.0017624
8,40.8421,0.71442,0.53418,0.91597,0.99447,0.96214,0.99133,0.76913,0.81007,0.64307,0.90449,0.0017228,0.0017228,0.0017228
9,45.8632,0.70376,0.48477,0.89543,0.96184,0.94362,0.98448,0.78033,0.85891,0.61661,0.93172,0.0016832,0.0016832,0.0016832
10,51.5374,0.64309,0.46805,0.88622,0.9992,0.90909,0.97192,0.77668,0.81625,0.60913,0.95688,0.0016436,0.0016436,0.0016436
11,57.0378,0.66693,0.46567,0.90211,0.99373,0.94652,0.98389,0.76111,0.84705,0.55855,0.95345,0.001604,0.001604,0.001604
12,62.0261,0.67539,0.45289,0.88528,0.9835,0.95613,0.98039,0.76335,0.83869,0.56951,0.94013,0.0015644,0.0015644,0.0015644
13,67.2376,0.64921,0.4353,0.89232,0.99362,0.96257,0.98779,0.78645,0.8174,0.51242,0.9291,0.0015248,0.0015248,0.0015248
14,71.3181,0.63729,0.42474,0.88759,0.97955,0.96791,0.98109,0.76455,0.75532,0.64428,0.91123,0.0014852,0.0014852,0.0014852
15,76.3496,0.65209,0.42842,0.89364,0.98876,0.96257,0.99015,0.80982,0.70825,0.49868,0.89475,0.0014456,0.0014456,0.0014456
16,81.2117,0.63667,0.41755,0.88785,0.97354,0.98396,0.99261,0.82009,0.66168,0.46044,0.88449,0.001406,0.001406,0.001406
17,86.3389,0.62414,0.40337,0.88129,0.98394,0.98279,0.99328,0.81555,0.71639,0.44585,0.89766,0.0013664,0.0013664,0.0013664
18,91.1443,0.62373,0.39854,0.88568,0.98653,0.97861,0.99369,0.82108,0.69727,0.45019,0.89386,0.0013268,0.0013268,0.0013268
19,96.3892,0.61397,0.39318,0.87183,1,0.9729,0.98856,0.82265,0.66319,0.42754,0.87789,0.0012872,0.0012872,0.0012872
20,101.254,0.60804,0.38277,0.88514,0.99429,0.96791,0.98947,0.82955,0.69139,0.44038,0.88436,0.0012476,0.0012476,0.0012476
21,105.143,0.6063,0.37649,0.88569,0.98785,0.93048,0.98259,0.81238,0.67656,0.4486,0.88524,0.001208,0.001208,0.001208
22,108.83,0.59686,0.37245,0.87742,0.98386,0.97813,0.9873,0.81666,0.67866,0.45595,0.89881,0.0011684,0.0011684,0.0011684
23,113.371,0.57232,0.36457,0.87641,0.99665,0.96791,0.98812,0.82387,0.65241,0.46318,0.89428,0.0011288,0.0011288,0.0011288
24,117.894,0.56016,0.35174,0.86251,0.99373,0.98396,0.99444,0.83485,0.70897,0.44852,0.92477,0.0010892,0.0010892,0.0010892
25,122.443,0.57301,0.3538,0.87541,0.99657,0.97861,0.99419,0.82048,0.72716,0.41878,0.92291,0.0010496,0.0010496,0.0010496
26,127.351,0.57795,0.35462,0.85996,0.99722,0.98396,0.99479,0.82508,0.73996,0.43109,0.91782,0.00101,0.00101,0.00101
27,132.246,0.57499,0.3605,0.85822,0.99441,0.97861,0.99437,0.83412,0.72271,0.45084,0.91693,0.0009704,0.0009704,0.0009704
28,137.431,0.57373,0.35903,0.86808,0.99757,0.98396,0.99425,0.8147,0.72939,0.44896,0.91942,0.0009308,0.0009308,0.0009308
29,142.736,0.55503,0.35098,0.86063,0.99456,0.97728,0.99144,0.82256,0.70601,0.43487,0.91128,0.0008912,0.0008912,0.0008912
30,148.073,0.54774,0.33709,0.85824,0.97838,0.96793,0.98892,0.81393,0.69984,0.46747,0.90127,0.0008516,0.0008516,0.0008516
31,153.474,0.54842,0.33195,0.8677,0.98889,0.95182,0.98567,0.83313,0.6828,0.48463,0.90113,0.000812,0.000812,0.000812
32,158.06,0.5556,0.32813,0.86387,0.98897,0.95926,0.98565,0.82224,0.69207,0.4736,0.90701,0.0007724,0.0007724,0.0007724
33,162.014,0.54506,0.32448,0.85645,0.99453,0.97249,0.99241,0.82971,0.67651,0.41953,0.8907,0.0007328,0.0007328,0.0007328
34,165.769,0.53724,0.3178,0.85311,0.99409,0.97326,0.99283,0.84696,0.66768,0.42834,0.8875,0.0006932,0.0006932,0.0006932
35,170.873,0.52064,0.31774,0.85858,0.98934,0.99264,0.99473,0.84301,0.65751,0.38173,0.88122,0.0006536,0.0006536,0.0006536
36,175.727,0.5355,0.31119,0.85644,0.989,0.99465,0.99479,0.85484,0.65184,0.39179,0.88136,0.000614,0.000614,0.000614
37,180.321,0.51118,0.31186,0.85681,0.98849,0.99465,0.99473,0.8554,0.65853,0.38111,0.88035,0.0005744,0.0005744,0.0005744
38,185.045,0.51538,0.30462,0.84664,0.98936,0.9946,0.99452,0.83986,0.67468,0.36728,0.89316,0.0005348,0.0005348,0.0005348
39,190.286,0.47963,0.30393,0.84038,0.98899,0.99465,0.99457,0.8384,0.67495,0.35255,0.90037,0.0004952,0.0004952,0.0004952
40,195.404,0.50949,0.29956,0.84339,0.98874,0.99465,0.99435,0.84343,0.66081,0.35612,0.89506,0.0004556,0.0004556,0.0004556
41,228.311,0.48357,0.28067,0.84044,0.9893,0.98862,0.99436,0.83483,0.66228,0.36775,0.89704,0.000416,0.000416,0.000416
42,232.995,0.47923,0.27307,0.8285,0.98922,0.98114,0.99447,0.84997,0.63915,0.37245,0.88916,0.0003764,0.0003764,0.0003764
43,237.755,0.46981,0.26878,0.84012,0.9884,0.9893,0.99441,0.84951,0.63646,0.36283,0.88968,0.0003368,0.0003368,0.0003368
44,242.836,0.46625,0.27107,0.83026,0.98854,0.9893,0.99447,0.84276,0.65798,0.36185,0.89427,0.0002972,0.0002972,0.0002972
45,248.068,0.45105,0.26481,0.8259,0.98892,0.9893,0.99468,0.84058,0.66749,0.36844,0.89594,0.0002576,0.0002576,0.0002576
46,253.16,0.46099,0.26127,0.82299,0.989,0.9893,0.99473,0.84538,0.67229,0.38716,0.89756,0.000218,0.000218,0.000218
47,258.409,0.45923,0.26159,0.83611,0.98924,0.98349,0.99458,0.84836,0.65964,0.38506,0.89206,0.0001784,0.0001784,0.0001784
48,263.258,0.45338,0.2588,0.83781,0.98861,0.9893,0.99468,0.84851,0.6426,0.37279,0.88597,0.0001388,0.0001388,0.0001388
49,268.755,0.43831,0.24935,0.82372,0.9893,0.98875,0.99468,0.85077,0.63738,0.36278,0.88414,9.92e-05,9.92e-05,9.92e-05
50,273.773,0.43704,0.25003,0.83319,0.98925,0.98387,0.99468,0.85155,0.64329,0.36115,0.88658,5.96e-05,5.96e-05,5.96e-05
